TEAM_NAME,OPP_TEAM_NAME,SEASON,TEAM_OFF_RATING,TEAM_DEF_RATING,TEAM_PACE,OPP_OFF_RATING,OPP_DEF_RATING,OPP_PACE,ORTG_DIFF,DRTG_DIFF,PACE_DIFF,WON
Toronto Raptors,Miami Heat,2015-16,109.3,104.8,93.35,105.5,103.7,94.14,3.799999999999997,1.0999999999999943,-0.7900000000000063,1
San Antonio Spurs,Oklahoma City Thunder,2015-16,109.3,98.2,94.54,112.1,104.8,97.54,-2.799999999999997,-6.599999999999994,-3.0,0
Oklahoma City Thunder,San Antonio Spurs,2015-16,112.1,104.8,97.54,109.3,98.2,94.54,2.799999999999997,6.599999999999994,3.0,1
Miami Heat,Toronto Raptors,2015-16,105.5,103.7,94.14,109.3,104.8,93.35,-3.799999999999997,-1.0999999999999943,0.7900000000000063,1
Toronto Raptors,Miami Heat,2015-16,109.3,104.8,93.35,105.5,103.7,94.14,3.799999999999997,1.0999999999999943,-0.7900000000000063,0
Miami Heat,Toronto Raptors,2015-16,105.5,103.7,94.14,109.3,104.8,93.35,-3.799999999999997,-1.0999999999999943,0.7900000000000063,0
Toronto Raptors,Miami Heat,2015-16,109.3,104.8,93.35,105.5,103.7,94.14,3.799999999999997,1.0999999999999943,-0.7900000000000063,1
Golden State Warriors,Oklahoma City Thunder,2015-16,113.5,102.8,100.24,112.1,104.8,97.54,1.4000000000000057,-2.0,2.6999999999999886,0
Oklahoma City Thunder,Golden State Warriors,2015-16,112.1,104.8,97.54,113.5,102.8,100.24,-1.4000000000000057,2.0,-2.6999999999999886,1
Cleveland Cavaliers,Toronto Raptors,2015-16,110.2,103.9,93.82,109.3,104.8,93.35,0.9000000000000057,-0.8999999999999915,0.46999999999999886,1
Toronto Raptors,Cleveland Cavaliers,2015-16,109.3,104.8,93.35,110.2,103.9,93.82,-0.9000000000000057,0.8999999999999915,-0.46999999999999886,0
Golden State Warriors,Oklahoma City Thunder,2015-16,113.5,102.8,100.24,112.1,104.8,97.54,1.4000000000000057,-2.0,2.6999999999999886,1
Oklahoma City Thunder,Golden State Warriors,2015-16,112.1,104.8,97.54,113.5,102.8,100.24,-1.4000000000000057,2.0,-2.6999999999999886,0
Cleveland Cavaliers,Toronto Raptors,2015-16,110.2,103.9,93.82,109.3,104.8,93.35,0.9000000000000057,-0.8999999999999915,0.46999999999999886,1
Toronto Raptors,Cleveland Cavaliers,2015-16,109.3,104.8,93.35,110.2,103.9,93.82,-0.9000000000000057,0.8999999999999915,-0.46999999999999886,0
Cleveland Cavaliers,Toronto Raptors,2015-16,110.2,103.9,93.82,109.3,104.8,93.35,0.9000000000000057,-0.8999999999999915,0.46999999999999886,0
Toronto Raptors,Cleveland Cavaliers,2015-16,109.3,104.8,93.35,110.2,103.9,93.82,-0.9000000000000057,0.8999999999999915,-0.46999999999999886,1
Golden State Warriors,Oklahoma City Thunder,2015-16,113.5,102.8,100.24,112.1,104.8,97.54,1.4000000000000057,-2.0,2.6999999999999886,0
Oklahoma City Thunder,Golden State Warriors,2015-16,112.1,104.8,97.54,113.5,102.8,100.24,-1.4000000000000057,2.0,-2.6999999999999886,1
Cleveland Cavaliers,Toronto Raptors,2015-16,110.2,103.9,93.82,109.3,104.8,93.35,0.9000000000000057,-0.8999999999999915,0.46999999999999886,0
Toronto Raptors,Cleveland Cavaliers,2015-16,109.3,104.8,93.35,110.2,103.9,93.82,-0.9000000000000057,0.8999999999999915,-0.46999999999999886,1
Golden State Warriors,Oklahoma City Thunder,2015-16,113.5,102.8,100.24,112.1,104.8,97.54,1.4000000000000057,-2.0,2.6999999999999886,0
Oklahoma City Thunder,Golden State Warriors,2015-16,112.1,104.8,97.54,113.5,102.8,100.24,-1.4000000000000057,2.0,-2.6999999999999886,1
Cleveland Cavaliers,Toronto Raptors,2015-16,110.2,103.9,93.82,109.3,104.8,93.35,0.9000000000000057,-0.8999999999999915,0.46999999999999886,1
Toronto Raptors,Cleveland Cavaliers,2015-16,109.3,104.8,93.35,110.2,103.9,93.82,-0.9000000000000057,0.8999999999999915,-0.46999999999999886,0
Golden State Warriors,Oklahoma City Thunder,2015-16,113.5,102.8,100.24,112.1,104.8,97.54,1.4000000000000057,-2.0,2.6999999999999886,1
Oklahoma City Thunder,Golden State Warriors,2015-16,112.1,104.8,97.54,113.5,102.8,100.24,-1.4000000000000057,2.0,-2.6999999999999886,0
Cleveland Cavaliers,Toronto Raptors,2015-16,110.2,103.9,93.82,109.3,104.8,93.35,0.9000000000000057,-0.8999999999999915,0.46999999999999886,1
Toronto Raptors,Cleveland Cavaliers,2015-16,109.3,104.8,93.35,110.2,103.9,93.82,-0.9000000000000057,0.8999999999999915,-0.46999999999999886,0
Golden State Warriors,Oklahoma City Thunder,2015-16,113.5,102.8,100.24,112.1,104.8,97.54,1.4000000000000057,-2.0,2.6999999999999886,1
Oklahoma City Thunder,Golden State Warriors,2015-16,112.1,104.8,97.54,113.5,102.8,100.24,-1.4000000000000057,2.0,-2.6999999999999886,0
Golden State Warriors,Oklahoma City Thunder,2015-16,113.5,102.8,100.24,112.1,104.8,97.54,1.4000000000000057,-2.0,2.6999999999999886,1
Oklahoma City Thunder,Golden State Warriors,2015-16,112.1,104.8,97.54,113.5,102.8,100.24,-1.4000000000000057,2.0,-2.6999999999999886,0
Cleveland Cavaliers,Golden State Warriors,2015-16,110.2,103.9,93.82,113.5,102.8,100.24,-3.299999999999997,1.1000000000000085,-6.420000000000002,0
Golden State Warriors,Cleveland Cavaliers,2015-16,113.5,102.8,100.24,110.2,103.9,93.82,3.299999999999997,-1.1000000000000085,6.420000000000002,1
Cleveland Cavaliers,Golden State Warriors,2015-16,110.2,103.9,93.82,113.5,102.8,100.24,-3.299999999999997,1.1000000000000085,-6.420000000000002,0
Golden State Warriors,Cleveland Cavaliers,2015-16,113.5,102.8,100.24,110.2,103.9,93.82,3.299999999999997,-1.1000000000000085,6.420000000000002,1
Cleveland Cavaliers,Golden State Warriors,2015-16,110.2,103.9,93.82,113.5,102.8,100.24,-3.299999999999997,1.1000000000000085,-6.420000000000002,1
Golden State Warriors,Cleveland Cavaliers,2015-16,113.5,102.8,100.24,110.2,103.9,93.82,3.299999999999997,-1.1000000000000085,6.420000000000002,0
Cleveland Cavaliers,Golden State Warriors,2015-16,110.2,103.9,93.82,113.5,102.8,100.24,-3.299999999999997,1.1000000000000085,-6.420000000000002,0
Golden State Warriors,Cleveland Cavaliers,2015-16,113.5,102.8,100.24,110.2,103.9,93.82,3.299999999999997,-1.1000000000000085,6.420000000000002,1
Cleveland Cavaliers,Golden State Warriors,2015-16,110.2,103.9,93.82,113.5,102.8,100.24,-3.299999999999997,1.1000000000000085,-6.420000000000002,1
Golden State Warriors,Cleveland Cavaliers,2015-16,113.5,102.8,100.24,110.2,103.9,93.82,3.299999999999997,-1.1000000000000085,6.420000000000002,0
Cleveland Cavaliers,Golden State Warriors,2015-16,110.2,103.9,93.82,113.5,102.8,100.24,-3.299999999999997,1.1000000000000085,-6.420000000000002,1
Golden State Warriors,Cleveland Cavaliers,2015-16,113.5,102.8,100.24,110.2,103.9,93.82,3.299999999999997,-1.1000000000000085,6.420000000000002,0
Cleveland Cavaliers,Golden State Warriors,2015-16,110.2,103.9,93.82,113.5,102.8,100.24,-3.299999999999997,1.1000000000000085,-6.420000000000002,1
